Evacuation Name,EVACUEES
宮城県仙台市青葉区下愛子,2666
宮城県仙台市青葉区昭和町,3038
宮城県仙台市青葉区西花苑一丁目,674
宮城県仙台市青葉区西花苑二丁目,735
宮城県仙台市青葉区星陵町,149
宮城県仙台市青葉区高松一丁目,1704
宮城県仙台市青葉区高松二丁目,1443
宮城県仙台市青葉区高松三丁目,1224
宮城県仙台市青葉区滝道,1462
宮城県仙台市青葉区立町,2960
宮城県仙台市青葉区台原森林公園,299
宮城県仙台市青葉区台原一丁目,1507
宮城県仙台市青葉区台原二丁目,1116
宮城県仙台市青葉区台原三丁目,2409
宮城県仙台市青葉区台原四丁目,1288
宮城県仙台市青葉区台原五丁目,1897
宮城県仙台市青葉区台原六丁目,1230
宮城県仙台市青葉区台原七丁目,842
宮城県仙台市青葉区中央一丁目,36
宮城県仙台市青葉区中央二丁目,46
宮城県仙台市青葉区中央三丁目,49
宮城県仙台市青葉区中央四丁目,703
宮城県仙台市青葉区千代田町,1061
宮城県仙台市青葉区土樋,1586
宮城県仙台市青葉区堤通雨宮町,2839
宮城県仙台市青葉区堤町一丁目,1438
宮城県仙台市青葉区堤町二丁目,1171
宮城県仙台市青葉区堤町三丁目,1070
宮城県仙台市青葉区角五郎一丁目,1295
宮城県仙台市青葉区角五郎二丁目,1477
宮城県仙台市青葉区東照宮一丁目,1742
宮城県仙台市青葉区東照宮二丁目,332
宮城県仙台市青葉区通町一丁目,1618
宮城県仙台市青葉区通町二丁目,1456
宮城県仙台市青葉区中江一丁目,1231
宮城県仙台市青葉区中江二丁目,1386
宮城県仙台市青葉区中山吉成一丁目,937
宮城県仙台市青葉区中山吉成二丁目,781
宮城県仙台市青葉区中山吉成三丁目,385
宮城県仙台市青葉区中山一丁目,1117
宮城県仙台市青葉区中山二丁目,1299
宮城県仙台市青葉区中山三丁目,665
宮城県仙台市青葉区中山四丁目,2330
宮城県仙台市青葉区中山五丁目,1109
宮城県仙台市青葉区中山六丁目,1118
宮城県仙台市青葉区中山七丁目,977
宮城県仙台市青葉区中山八丁目,1576
宮城県仙台市青葉区中山九丁目,830
宮城県仙台市青葉区新坂町,924
宮城県仙台市青葉区西勝山,2164
宮城県仙台市青葉区錦町一丁目,2033
宮城県仙台市青葉区錦町二丁目,1186
宮城県仙台市青葉区新川,312
宮城県仙台市青葉区支倉町,2092
宮城県仙台市青葉区八幡一丁目,1532
宮城県仙台市青葉区八幡二丁目,1717
宮城県仙台市青葉区八幡三丁目,2347
宮城県仙台市青葉区八幡四丁目,1620
宮城県仙台市青葉区八幡五丁目,698
宮城県仙台市青葉区八幡六丁目,781
宮城県仙台市青葉区八幡七丁目,587
宮城県仙台市青葉区葉山町,1904
宮城県仙台市青葉区東勝山一丁目,637
宮城県仙台市青葉区東勝山二丁目,1097
宮城県仙台市青葉区東勝山三丁目,1100
宮城県仙台市青葉区広瀬町,2230
宮城県仙台市青葉区福沢町,1210
宮城県仙台市青葉区藤松,581
宮城県仙台市青葉区双葉ケ丘一丁目,1541
宮城県仙台市青葉区双葉ケ丘二丁目,414
宮城県仙台市青葉区二日町,2957
宮城県仙台市青葉区本町一丁目,1460
宮城県仙台市青葉区本町二丁目,501
宮城県仙台市青葉区本町三丁目,466
宮城県仙台市青葉区水の森一丁目,918
宮城県仙台市青葉区水の森二丁目,1082
宮城県仙台市青葉区水の森三丁目,1643
宮城県仙台市青葉区水の森四丁目,26
宮城県仙台市青葉区みやぎ台一丁目,955
宮城県仙台市青葉区みやぎ台二丁目,1102
宮城県仙台市青葉区みやぎ台三丁目,1152
宮城県仙台市青葉区みやぎ台四丁目,840
宮城県仙台市青葉区みやぎ台五丁目,629
宮城県仙台市青葉区宮町一丁目,1736
宮城県仙台市青葉区宮町二丁目,1307
宮城県仙台市青葉区宮町三丁目,1292
宮城県仙台市青葉区宮町四丁目,1513
宮城県仙台市青葉区宮町五丁目,1293
宮城県仙台市青葉区向田,493
宮城県仙台市青葉区茂庭,73
宮城県仙台市青葉区山手町,2738
宮城県仙台市青葉区吉成一丁目,949
宮城県仙台市青葉区吉成二丁目,728
宮城県仙台市青葉区吉成三丁目,774
宮城県仙台市青葉区錦ケ丘一丁目,624
宮城県仙台市青葉区錦ケ丘二丁目,579
宮城県仙台市青葉区錦ケ丘三丁目,1536
宮城県仙台市青葉区錦ケ丘四丁目,1122
宮城県仙台市青葉区錦ケ丘五丁目,1248
宮城県仙台市青葉区錦ケ丘六丁目,960
宮城県仙台市青葉区錦ケ丘七丁目,516
宮城県仙台市青葉区錦ケ丘八丁目,1390
宮城県仙台市青葉区錦ケ丘九丁目,476
宮城県仙台市青葉区赤坂一丁目,433
宮城県仙台市青葉区赤坂二丁目,1040
宮城県仙台市青葉区赤坂三丁目,850
宮城県仙台市青葉区栗生一丁目,1027
宮城県仙台市青葉区栗生二丁目,780
宮城県仙台市青葉区栗生三丁目,1086
宮城県仙台市青葉区栗生四丁目,848
宮城県仙台市青葉区栗生五丁目,728
宮城県仙台市青葉区栗生六丁目,600
宮城県仙台市青葉区栗生七丁目,306
宮城県仙台市青葉区中山台一丁目,448
宮城県仙台市青葉区中山台二丁目,1041
宮城県仙台市青葉区中山台三丁目,571
宮城県仙台市青葉区中山台四丁目,528
宮城県仙台市青葉区ニツカ,10
宮城県仙台市青葉区南吉成一丁目,630
宮城県仙台市青葉区南吉成二丁目,730
宮城県仙台市青葉区南吉成三丁目,516
宮城県仙台市青葉区南吉成四丁目,526
宮城県仙台市青葉区南吉成五丁目,554
宮城県仙台市青葉区南吉成六丁目,298
宮城県仙台市青葉区南吉成七丁目,528
宮城県仙台市青葉区臨済院,0
宮城県仙台市青葉区川内追廻,0
宮城県仙台市青葉区川内亀岡北裏丁,173
宮城県仙台市青葉区川内亀岡町,1006
宮城県仙台市青葉区川内川前丁,368
宮城県仙台市青葉区川内三十人町,1615
宮城県仙台市青葉区川内大工町,506
宮城県仙台市青葉区川内中ノ瀬町,49
宮城県仙台市青葉区川内明神横丁,144
宮城県仙台市青葉区川内山屋敷,318
宮城県仙台市青葉区川内澱橋通,526
宮城県仙台市青葉区川内元支倉,420
宮城県仙台市青葉区青葉山,0
宮城県仙台市青葉区愛子中央一丁目,224
宮城県仙台市青葉区愛子中央二丁目,707
宮城県仙台市青葉区愛子中央三丁目,1212
宮城県仙台市青葉区愛子中央四丁目,621
宮城県仙台市青葉区愛子中央五丁目,744
宮城県仙台市青葉区愛子中央六丁目,353
宮城県仙台市青葉区中山台西,457
宮城県仙台市宮城野区安養寺一丁目,1470
宮城県仙台市宮城野区安養寺二丁目,1381
宮城県仙台市宮城野区安養寺三丁目,99
宮城県仙台市宮城野区銀杏町,2482
宮城県仙台市宮城野区出花一丁目,1296
宮城県仙台市宮城野区出花二丁目,846
宮城県仙台市宮城野区出花三丁目,466
宮城県仙台市宮城野区岩切,243
宮城県仙台市宮城野区岩切分台一丁目,616
宮城県仙台市宮城野区岩切分台二丁目,566
宮城県仙台市宮城野区岩切分台三丁目,1154
宮城県仙台市宮城野区岩切字水分,9156
宮城県仙台市宮城野区岩切字三所南,4327
宮城県仙台市宮城野区岩切一丁目,443
宮城県仙台市宮城野区岩切二丁目,887
宮城県仙台市宮城野区岩切三丁目,877
宮城県仙台市宮城野区扇町一丁目,5
宮城県仙台市宮城野区扇町二丁目,0
宮城県仙台市宮城野区扇町三丁目,3
宮城県仙台市宮城野区扇町四丁目,0
宮城県仙台市宮城野区扇町五丁目,0
宮城県仙台市宮城野区扇町六丁目,4
宮城県仙台市宮城野区扇町七丁目,0
宮城県仙台市宮城野区大梶,2879
宮城県仙台市宮城野区岡田,1603
宮城県仙台市宮城野区岡田西町,0
宮城県仙台市宮城野区小田原山本丁,481
宮城県仙台市宮城野区小田原弓ノ町,1331
宮城県仙台市宮城野区小田原一丁目,3014
宮城県仙台市宮城野区小田原二丁目,1075
宮城県仙台市宮城野区小田原三丁目,1140
宮城県仙台市宮城野区花京院通,0
宮城県仙台市宮城野区蟹沢,59
宮城県仙台市宮城野区蒲生,1876
宮城県仙台市宮城野区蒲生一丁目,19
宮城県仙台市宮城野区蒲生二丁目,2
宮城県仙台市宮城野区車町,564
宮城県仙台市宮城野区小鶴,17
宮城県仙台市宮城野区小鶴一丁目,876
宮城県仙台市宮城野区小鶴二丁目,553
宮城県仙台市宮城野区小鶴三丁目,628
宮城県仙台市宮城野区五輪一丁目,1786
宮城県仙台市宮城野区五輪二丁目,2199
宮城県仙台市宮城野区幸町一丁目,976
宮城県仙台市宮城野区幸町二丁目,3161
宮城県仙台市宮城野区幸町三丁目,2321
宮城県仙台市宮城野区幸町四丁目,33
宮城県仙台市宮城野区幸町五丁目,1295
宮城県仙台市宮城野区栄一丁目,657
宮城県仙台市宮城野区栄二丁目,1537
宮城県仙台市宮城野区栄三丁目,715
宮城県仙台市宮城野区栄四丁目,1357
宮城県仙台市宮城野区栄五丁目,1086
宮城県仙台市宮城野区清水沼一丁目,601
宮城県仙台市宮城野区清水沼二丁目,1028
宮城県仙台市宮城野区清水沼三丁目,1114
宮城県仙台市宮城野区自由ケ丘,1172
宮城県仙台市宮城野区田子一丁目,2428
宮城県仙台市宮城野区田子二丁目,1916
宮城県仙台市宮城野区田子三丁目,2080
宮城県仙台市宮城野区田子,1002
宮城県仙台市宮城野区田子西一丁目,650
宮城県仙台市宮城野区田子西二丁目,765
宮城県仙台市宮城野区田子西三丁目,387
宮城県仙台市宮城野区榴ケ岡,2268
宮城県仙台市宮城野区榴岡一丁目,304
宮城県仙台市宮城野区榴岡二丁目,812
宮城県仙台市宮城野区榴岡三丁目,1977
宮城県仙台市宮城野区榴岡四丁目,801
宮城県仙台市宮城野区榴岡五丁目,1458
宮城県仙台市宮城野区燕沢字前塚,0
宮城県仙台市宮城野区燕沢一丁目,1095
宮城県仙台市宮城野区燕沢二丁目,1437
宮城県仙台市宮城野区燕沢三丁目,748
宮城県仙台市宮城野区燕沢東一丁目,369
宮城県仙台市宮城野区燕沢東二丁目,686
宮城県仙台市宮城野区燕沢東三丁目,1129
宮城県仙台市宮城野区鶴ケ谷,636
宮城県仙台市宮城野区鶴ケ谷一丁目,1262
宮城県仙台市宮城野区鶴ケ谷二丁目,2150
宮城県仙台市宮城野区鶴ケ谷三丁目,1060
宮城県仙台市宮城野区鶴ケ谷四丁目,1300
宮城県仙台市宮城野区鶴ケ谷五丁目,1397
宮城県仙台市宮城野区鶴ケ谷六丁目,2258
宮城県仙台市宮城野区鶴ケ谷七丁目,1212
宮城県仙台市宮城野区鶴ケ谷八丁目,751
宮城県仙台市宮城野区鶴ケ谷北一丁目,520
宮城県仙台市宮城野区鶴ケ谷北二丁目,435
宮城県仙台市宮城野区鶴ケ谷東一丁目,526
宮城県仙台市宮城野区鶴ケ谷東二丁目,1262
宮城県仙台市宮城野区鶴ケ谷東三丁目,918
宮城県仙台市宮城野区鶴ケ谷東四丁目,791
宮城県仙台市宮城野区鶴巻一丁目,1061
宮城県仙台市宮城野区鶴巻二丁目,144
宮城県仙台市宮城野区鉄砲町,163
宮城県仙台市宮城野区名掛丁,415
宮城県仙台市宮城野区中野一丁目,731
宮城県仙台市宮城野区中野二丁目,568
宮城県仙台市宮城野区中野三丁目,0
宮城県仙台市宮城野区中野四丁目,0
宮城県仙台市宮城野区中野五丁目,5
宮城県仙台市宮城野区中野,1165
宮城県仙台市宮城野区苦竹一丁目,1674
宮城県仙台市宮城野区苦竹二丁目,583
宮城県仙台市宮城野区苦竹三丁目,3
宮城県仙台市宮城野区苦竹四丁目,0
宮城県仙台市宮城野区西宮城野,1199
宮城県仙台市宮城野区二十人町,1859
宮城県仙台市宮城野区二の森,1850
宮城県仙台市宮城野区萩野町一丁目,1232
宮城県仙台市宮城野区萩野町二丁目,1274
宮城県仙台市宮城野区萩野町三丁目,1676
宮城県仙台市宮城野区萩野町四丁目,1271
宮城県仙台市宮城野区平成一丁目,1461
宮城県仙台市宮城野区平成二丁目,1374
宮城県仙台市宮城野区原町南目,98
宮城県仙台市宮城野区原町一丁目,1686
宮城県仙台市宮城野区原町二丁目,1256
宮城県仙台市宮城野区原町三丁目,1181
宮城県仙台市宮城野区原町四丁目,695
宮城県仙台市宮城野区原町五丁目,1026
宮城県仙台市宮城野区原町六丁目,336
宮城県仙台市宮城野区東仙台一丁目,1516
宮城県仙台市宮城野区東仙台二丁目,1256
宮城県仙台市宮城野区東仙台三丁目,722
宮城県仙台市宮城野区東仙台四丁目,1609
宮城県仙台市宮城野区東仙台五丁目,1287
宮城県仙台市宮城野区東仙台六丁目,1339
宮城県仙台市宮城野区東仙台七丁目,805
宮城県仙台市宮城野区東宮城野,1237
宮城県仙台市宮城野区東六番丁,0
宮城県仙台市宮城野区日の出町一丁目,2
宮城県仙台市宮城野区日の出町二丁目,2
宮城県仙台市宮城野区日の出町三丁目,21
宮城県仙台市宮城野区福住町,1667
宮城県仙台市宮城野区福田町一丁目,1332
宮城県仙台市宮城野区福田町二丁目,2826
宮城県仙台市宮城野区福田町三丁目,479
宮城県仙台市宮城野区福田町四丁目,707
