Name,Address,Capacity
台原森林公園（外部サイトへリンク）,仙台市青葉区北根地内,"22,000"
西公園（外部サイトへリンク）,仙台市青葉区桜ケ岡公園,"46,000"
宮城野原公園総合運動場（外部サイトへリンク）,仙台市宮城野区宮城野2-11-6,"37,000"
榴岡公園（外部サイトへリンク）,仙台市宮城野区五輪1,"56,000"
広瀬川若林緑地,仙台市若林区若林地先,"42,000"
広瀬川八本松緑地,仙台市太白区八本松地先,"24,000"
三神峯公園（外部サイトへリンク）,仙台市太白区三神峯1,"7,000"
七北田公園（外部サイトへリンク）,仙台市泉区七北田字赤生津外,"24,000"
