Name,Address,Capacity
四郎丸小学校,仙台市太白区四郎丸字吹上6-3,7666
袋原小学校,仙台市太白区中田町字法地南4-2,10996
長町小学校,仙台市太白区長町4-6-1,9916
鹿野小学校,仙台市太白区鹿野2-9-1,6186
上野山小学校,仙台市太白区上野山1-20-1,7267
西多賀中学校,仙台市太白区西多賀3-10-1,6193
袋原中学校,仙台市太白区袋原4-27-1,7450
郡山小学校,仙台市太白区郡山字行新田1-1,3981
茂庭台小学校,仙台市太白区茂庭台4-17-1,2916
馬場小学校,仙台市太白区秋保町馬場字町北25,252
秋保小学校,仙台市太白区秋保町長袋字町15,770
湯元小学校,仙台市太白区秋保町湯向29-3,1110
秋保中学校,仙台市太白区秋保町長袋字大原45-5,1072
東四郎丸小学校,仙台市太白区四郎丸字昭和北1,3641
西中田小学校,仙台市太白区西中田7-7-1,6142
長町南小学校,仙台市太白区長町7-23-1,10005
富沢中学校,仙台市太白区富沢2-4-1,18578
人来田小学校,仙台市太白区人来田1-1-1,4233
東長町小学校,仙台市太白区郡山6-5-1,12595
中田中学校,仙台市太白区中田5-15-1,12496
八木山中学校,仙台市太白区八木山東2-27-1,8097
人来田中学校,仙台市太白区人来田1-35-1,2514
生出小学校,仙台市太白区茂庭字中ノ瀬西5-2,1332
茂庭台中学校,仙台市太白区茂庭台5-3-1,2181
柳生中学校,仙台市太白区柳生3-7-3,9723
柳生小学校,仙台市太白区柳生字台畑100,8318
富沢小学校,仙台市太白区富沢字中河原17-1,15111
根白石小学校,仙台市泉区根白石字杉下前15,2190
高森小学校,仙台市泉区高森3-1,3759
将監小学校,仙台市泉区将監3丁目10-1,5106
将監中央小学校,仙台市泉区将監10丁目3-1,8577
向陽台小学校,仙台市泉区向陽台5-6-12,10375
七北田小学校,仙台市泉区七北田字東裏90,9368
七北田中学校,仙台市泉区七北田字東裏100,10518
松森小学校,仙台市泉区鶴が丘2-2,3922
黒松小学校,仙台市泉区黒松3-11-1,6719
八乙女中学校,仙台市泉区旭丘堤2-1-1,8799
南光台小学校,仙台市泉区南光台7-10-1,10464
南光台東小学校,仙台市泉区南光台東2-16-1,5446
南光台中学校,仙台市泉区南光台7-24-1,5638
泉ケ丘小学校,仙台市泉区明通4-12-1,3212
加茂小学校,仙台市泉区加茂4-3,5639
八乙女小学校,仙台市泉区松森字不動148,7652
鶴が丘小学校,仙台市泉区鶴が丘1-350,3892
寺岡中学校,仙台市泉区寺岡2-13-1,6951
